"Date","Price","Open","High","Low","Vol.","Change %"
"08/30/2024","2,503.03","2,520.89","2,527.07","2,494.36","","-0.72%"
"08/29/2024","2,521.18","2,504.65","2,528.77","2,503.65","","0.76%"
"08/28/2024","2,502.25","2,522.74","2,529.15","2,493.66","","-0.88%"
"08/27/2024","2,524.57","2,518.30","2,526.27","2,503.41","","0.31%"
"08/26/2024","2,516.89","2,511.43","2,527.76","2,508.71","","0.19%"
"08/23/2024","2,512.07","2,482.20","2,518.45","2,481.20","","1.16%"
"08/22/2024","2,483.29","2,512.50","2,514.82","2,470.86","","-1.14%"
"08/21/2024","2,511.95","2,512.82","2,520.09","2,494.15","","-0.07%"
"08/20/2024","2,513.74","2,501.55","2,532.05","2,497.33","","0.39%"
"08/19/2024","2,503.92","2,508.40","2,510.45","2,485.83","","-0.13%"
"08/16/2024","2,507.28","2,456.57","2,509.89","2,450.76","","2.08%"
"08/15/2024","2,456.10","2,448.15","2,470.25","2,432.19","","0.35%"
"08/14/2024","2,447.64","2,467.40","2,478.49","2,438.12","","-0.71%"
"08/13/2024","2,465.03","2,472.64","2,477.02","2,458.50","","-0.29%"
"08/12/2024","2,472.25","2,431.21","2,473.48","2,423.84","","1.70%"
"08/09/2024","2,430.93","2,427.29","2,437.15","2,416.93","","0.17%"
"08/08/2024","2,426.75","2,382.43","2,427.80","2,380.70","","1.90%"
"08/07/2024","2,381.53","2,389.67","2,407.05","2,379.05","","-0.33%"
"08/06/2024","2,389.37","2,410.01","2,418.35","2,381.79","","-0.76%"
"08/05/2024","2,407.65","2,443.27","2,458.80","2,364.40","","-1.46%"
"08/02/2024","2,443.29","2,445.16","2,477.72","2,410.83","","-0.09%"
"08/01/2024","2,445.42","2,448.10","2,462.40","2,430.25","","-0.11%"
